Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","834","United Republic of Tanzania","5157","Agricultural Use","4012","Superphosphates above 35%","2013","2013","t","728","A","Official figure"
"RFB","Fertilizers by Product","834","United Republic of Tanzania","5157","Agricultural Use","4001","Urea","2013","2013","t","65885","A","Official figure"
"RFB","Fertilizers by Product","834","United Republic of Tanzania","5157","Agricultural Use","4001","Urea","2014","2014","t","100455","A","Official figure"
"RFB","Fertilizers by Product","834","United Republic of Tanzania","5157","Agricultural Use","4001","Urea","2015","2015","t","107280","A","Official figure"
"RFB","Fertilizers by Product","834","United Republic of Tanzania","5157","Agricultural Use","4001","Urea","2016","2016","t","114105","A","Official figure"
"RFB","Fertilizers by Product","894","Zambia","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","177007","A","Official figure"
"RFB","Fertilizers by Product","894","Zambia","5157","Agricultural Use","4021","NPK fertilizers","2015","2015","t","194753","A","Official figure"
"RFB","Fertilizers by Product","894","Zambia","5157","Agricultural Use","4021","NPK fertilizers","2016","2016","t","139009","A","Official figure"
"RFB","Fertilizers by Product","894","Zambia","5157","Agricultural Use","4021","NPK fertilizers","2017","2017","t","181662","A","Official figure"
"RFB","Fertilizers by Product","894","Zambia","5157","Agricultural Use","4021","NPK fertilizers","2018","2018","t","133309","A","Official figure"
"RFB","Fertilizers by Product","894","Zambia","5157","Agricultural Use","4021","NPK fertilizers","2019","2019","t","207707","A","Official figure"
"RFB","Fertilizers by Product","894","Zambia","5157","Agricultural Use","4021","NPK fertilizers","2021","2021","t","199270","A","Official figure"
"RFB","Fertilizers by Product","894","Zambia","5157","Agricultural Use","4001","Urea","2014","2014","t","161597","A","Official figure"
"RFB","Fertilizers by Product","894","Zambia","5157","Agricultural Use","4001","Urea","2015","2015","t","179333","A","Official figure"
"RFB","Fertilizers by Product","894","Zambia","5157","Agricultural Use","4001","Urea","2016","2016","t","133371","A","Official figure"
"RFB","Fertilizers by Product","894","Zambia","5157","Agricultural Use","4001","Urea","2017","2017","t","179433","A","Official figure"
"RFB","Fertilizers by Product","894","Zambia","5157","Agricultural Use","4001","Urea","2018","2018","t","127157","A","Official figure"
"RFB","Fertilizers by Product","894","Zambia","5157","Agricultural Use","4001","Urea","2019","2019","t","162292","A","Official figure"
"RFB","Fertilizers by Product","894","Zambia","5157","Agricultural Use","4001","Urea","2021","2021","t","189249","A","Official figure"
"RFB","Fertilizers by Product","716","Zimbabwe","5157","Agricultural Use","4030","Fertilizers n.e.c.","2017","2017","t","10817","A","Official figure"
"RFB","Fertilizers by Product","716","Zimbabwe","5157","Agricultural Use","4030","Fertilizers n.e.c.","2018","2018","t","13373","A","Official figure"
